0:(1,1),(3,5),(3,11),(5,11),
1:(1,2),(4,5),(2,11),(5,10),
2:(1,3),(5,5),(1,11),(5,9),
3:(2,3),(5,4),(1,10),(5,9),
4:(3,3),(5,3),(1,9),(5,9),
5:(4,3),(5,2),(2,9),(5,9),
6:(5,3),(5,2),(3,9),(4,9),
7:(5,4),(5,3),(3,8),(3,9),
8:(5,5),(4,3),(3,7),(2,9),
9:(5,7),(3,3),(3,7),(1,9),
10:(5,7),(3,2),(3,7),(1,8),
11:(5,7),(3,1),(3,7),(1,7),
12:(5,7),(3,1),(3,7),(1,6),
13:(5,7),(3,1),(3,7),(1,5),
14:(5,7),(3,1),(3,7),(1,4),
15:(5,7),(3,1),(3,7),(1,3),
16:(5,7),(3,1),(3,7),(2,3),
17:(5,7),(3,1),(3,7),(3,3),
18:(5,7),(3,1),(3,7),(4,3),
19:(5,7),(3,1),(3,7),(5,3),
20:(5,7),(3,1),(3,7),(5,2),
21:(5,7),(3,1),(3,7),(5,1),
